#{"t_start": 1765055502.0637794, "env_id": "None"}
r,l,t
33404.574829,90,1.01053
133946.744129,90,1.058678
85986.257156,90,1.108694
27427.810959,90,1.157271
163480.48267,90,1.207002
47820.8358,90,1.265575
163611.943993,90,1.360497
318923.082405,90,1.440953
341425.751236,90,1.532045
37984.382767,90,1.617838
144161.521713,90,1.702121
85518.152336,90,1.785136
32133.009346,90,1.875802
31180.48732,90,1.961954
188132.741882,90,2.049563
180192.048523,90,2.127658
194469.415375,90,2.218346
210210.329403,90,2.296114
204278.674271,90,2.378235
228505.653408,90,2.456002
78739.16658,90,2.54407
129276.013901,90,2.626015
20389.380508,90,2.708663
200096.969673,90,2.791106
167667.538475,90,2.876344
206414.7029,90,2.964138
114610.033066,90,3.050391
115691.957237,90,3.138672
238720.063782,90,3.231566
269483.908051,90,3.316889
18715.619671,90,3.407896
157605.713837,90,3.492525
103707.43222,90,3.581951
205399.920124,90,3.662174
119586.975128,90,3.751047
166050.919346,90,3.833226
171307.808472,90,3.924759
180659.326488,90,4.010742
145149.411812,90,4.100335
294518.712013,90,4.183238
29746.085388,90,4.270302
160830.914288,90,4.35625
209595.399902,90,4.439996
75017.013092,90,4.51834
174866.431499,90,4.611007
230486.78511,90,4.692262
191768.223061,90,4.777388
162554.422745,90,4.863833
128140.736923,90,4.95469
233262.169392,90,5.032776
338512.044495,90,5.117777
188959.960388,90,5.194447
101285.800022,90,5.280897
301827.124496,90,5.371809
108918.778076,90,5.456168
33532.975027,90,5.545104
188693.444229,90,5.635742
322902.685566,90,5.721042
108168.139618,90,5.811606
149047.650833,90,5.898805
212891.791443,90,5.995009
272330.815823,90,6.07703
168548.28648,90,6.161686
103994.152481,90,6.246121
170597.171127,90,6.406418
271845.2491,90,6.491083
159999.069565,90,6.582145
288164.212784,90,6.673763
191653.534981,90,6.763156
180436.842827,90,6.853083
173835.187286,90,6.946324
225044.590744,90,7.039317
169473.085655,90,7.136033
172663.077139,90,7.221294
175437.185486,90,7.315661
205867.136055,90,7.402933
200286.588547,90,7.496492
153087.427254,90,7.57793
206770.86396,90,7.667331
148713.253113,90,7.746168
373526.567629,90,7.841554
217280.646717,90,7.933615
297848.022202,90,8.025312
178653.094322,90,8.111367
351092.26252,90,8.205271
250256.979038,90,8.293962
221705.665123,90,8.383839
240864.559591,90,8.468066
188229.28265,90,8.559759
233214.355789,90,8.653253
308883.307423,90,8.744743
89635.616259,90,8.825035
124758.355289,90,8.915381
152220.813553,90,9.004381
219371.103857,90,9.098352
297259.55745,90,9.186862
178601.377426,90,9.27914
286445.32785,90,9.36617
117344.344936,90,9.456757
187982.477798,90,9.540556
287214.767015,90,9.637341
373533.379379,90,9.723099
311486.834463,90,9.826909
249279.517075,90,9.908107
